date_extracted,ARMA,ARIMA,SARIMAX,result
2023-03-01,0.08069864747846724,0.07284625610158572,0.07872405956608096,0.06914123819904651
2023-03-02,0.08027411662699682,0.07536344647425655,0.06198233870551488,0.04688178596598478
2023-03-03,0.0798518191022237,0.07364542495645314,0.07319809707215622,0.05570288852153475
2023-03-04,0.07943174315530063,0.07545382662834534,0.08632384995462036,0.07858497631331755
2023-03-05,0.0790138770991874,0.07400673864913403,0.09727962343888569,0.05517330863264082
2023-03-06,0.07859820930832576,0.07569423860065838,0.08067625965899497,0.04083070692389965
2023-03-07,0.07818472821831594,0.07431638858824528,0.08730255834657148,0.05142061216785898
2023-03-08,0.07777342232559499,0.07595269199688137,0.10926424774258925,0.08287045830723562
2023-03-09,0.07736428018711661,0.07461949273680749,0.08273270234813987,0.06735662634260062
2023-03-10,0.07695729042003288,0.07621375734257167,0.08909530588922168,0.052254841708990946
2023-03-11,0.07655244170137758,0.07492133448921613,0.06881311468751651,0.08532922449423404
2023-03-12,0.07614972276775113,0.0764756187736276,0.0708817977961343,0.1035434531000561
2023-03-13,0.07574912241500723,0.0752225445515938,0.07329280691043633,0.07358532884964603
2023-03-14,0.07535062949794116,0.07673805074742605,0.05545309234341523,0.06923501812177091
2023-03-15,0.07495423292997974,0.0755232098653021,0.07209437556478583,0.08580119920110522
2023-03-16,0.07455992168287282,0.0770010138252753,0.08493121728872273,0.07378854688661507
2023-03-17,0.0741676847863865,0.07582335350085898,0.09760692529269373,0.0793250027729737
2023-03-18,0.07377751132799792,0.07726449066287473,0.079991142765204,0.07023517355205801
2023-03-19,0.07338939045259167,0.0761229907150269,0.09029322993713793,0.0789439063982918
2023-03-20,0.07300331136215776,0.07752846684569085,0.11602735205384512,0.06252261265304744
2023-03-21,0.07261926331549122,0.07642213550746907,0.07990950213828683,0.0651396004916145
2023-03-22,0.07223723562789328,0.0777929286411283,0.08643752617112724,0.04489371160916745
2023-03-23,0.0718572176708741,0.07672080139595389,0.06680511366785946,0.07844194131384007
2023-03-24,0.07147919887185704,0.0780578627266863,0.06915852872140378,0.0463129036304202
2023-03-25,0.07110316871388457,0.07701900151608135,0.07195950320224126,0.08420059032920385
2023-03-26,0.07072911673532564,0.07832325614914719,0.05587058144227161,0.08778852462100761
2023-03-27,0.07035703252958464,0.07731674864186747,0.0736201791576731,0.08737718615120454
2023-03-28,0.06998690574481187,0.0785890963109958,0.08375909187757931,0.07254575257275875
2023-03-29,0.06961872608361552,0.07761405519684096,0.09438870010972783,0.1011196441127624
2023-03-30,0.06925248330277524,0.078855370960261,0.07710399377200544,0.03365445033095313
2023-03-31,0.0688881672129571,0.07791093326379328,0.08630790749060738,0.07473560065665329
2023-04-01,0.06852576767843012,0.07912206818099195,0.11221841304133842,0.07438144561774335
2023-04-02,0.06816527461678432,0.07820739459413945,0.07544550951714085,0.07251961388148888
2023-04-03,0.06780667799865017,0.07938917638403711,0.08111873366907332,0.0868633485110169
2023-04-04,0.06744996784741959,0.07850345061700816,0.05940599965870584,0.08255551025776472
2023-04-05,0.06709513423896837,0.07965668429808105,0.06402241012652456,0.058616886540820645
2023-04-06,0.06674216730138009,0.07879911244808067,0.06712624036035608,0.07908958616877651
2023-04-07,0.06639105721467144,0.07992458096092761,0.04711327575332002,0.07513267648860869
2023-04-08,0.06604179421051903,0.07909439089818736,0.0647516222836008,0.0819553024093414
2023-04-09,0.06569436857198764,0.0801928557110222,0.07745099041962981,0.06547034515480604
2023-04-10,0.06534877063325988,0.07938929648166822,0.09194881435016825,0.08752656713176193
2023-04-11,0.06500499077936721,0.08046149817920668,0.07298390292839839,0.07133147164548864
2023-04-12,0.06466301944592255,0.07968383942450429,0.08389487899193332,0.027159965398661334
2023-04-13,0.06432284711885411,0.08073049828070016,0.11047971452498084,0.06388726059764115
2023-04-14,0.0639844643341407,0.07997802967222595,0.072344216517732,0.05289602341701909
2023-04-15,0.06364786167754849,0.08099984620729997,0.08039798446606872,0.06810667218476452
2023-04-16,0.06331302978436898,0.08027187689760437,0.057811744787534924,0.08429309776319112
2023-04-17,0.06297995933915858,0.08126953241979641,0.06022558640717126,0.07096645605950756
2023-04-18,0.06264864107547938,0.08056539050813202,0.06368104653844579,0.045046780702298284
2023-04-19,0.062319065775641364,0.08153954764059547,0.04513405945190999,0.08437653364683823
2023-04-20,0.06199122427044596,0.08085857965329801,0.06553528741611742,0.08371977265653736
2023-04-21,0.06166510743893093,0.08180988284654406,0.07572853699154838,0.10118046399455029
2023-04-22,0.06134070620811663,0.08115145323166394,0.08876213308936015,0.07502619522681252
2023-04-23,0.061018011552753576,0.08208052926195175,0.0699137338868514,0.07204603330322754
2023-04-24,0.06069701449507136,0.08144401989774562,0.08104293827937344,0.04146711022563295
2023-04-25,0.060377706104528875,0.08235147835180416,0.10899642991108986,0.06550576449013949
2023-04-26,0.060060077497565846,0.08173628806870614,0.06719260613162878,0.09817398645064086
2023-04-27,0.05974411983735569,0.08262272181516224,0.074350317331947,0.09458360826744118
2023-04-28,0.05942982433355966,0.0820282659308653,0.05048730801057752,0.04503541627454671
2023-04-29,0.05911718224208228,0.08289425157874271,0.0550319869463224,0.05776657329598506
2023-04-30,0.0588061848648281,0.0823199614460306,0.0588182788363768,0.04851551226551227
2023-05-01,0.05849682354945967,0.08316605979067461,0.037657630130342415,0.05110988128033583
2023-05-02,0.05818908968915683,0.08261138235765453,0.058020180750543326,0.03262086623693767
2023-05-03,0.05788297472237727,0.0834381388144269,0.06957583686580064,0.05373176642198381
2023-05-04,0.05757847013261834,0.08290253619682303,0.08508443206446263,0.07847497384224841
2023-05-05,0.05727556744818008,0.08371048122290273,0.06503671262731188,0.07794541877875212
2023-05-06,0.056974258241929567,0.08319343028807971,0.07708560092938044,0.03790901046519024
2023-05-07,0.05667453413106642,0.08398307979269566,0.10545832652743886,0.07269069664902998
2023-05-08,0.05637638677688962,0.08348407175509036,0.06282642904411369,0.04757396165365067
2023-05-09,0.0560798078845655,0.08425592749850339,0.07164867085138346,0.035031323027354774
2023-05-10,0.05578478920289696,0.08377446752615204,0.046546256027928945,0.08090565999656908
2023-05-11,0.05549132252409391,0.08452901750769466,0.04990893626170321,0.05903821576786693
2023-05-12,0.05519939968354495,0.08406462433955113,0.054036225438527916,0.07465407501697824
2023-05-13,0.054909012559590194,0.0848023431750252,0.03297581632339407,0.04933634967725877
2023-05-14,0.0546201530732953,0.08435454874877447,0.05545209754713919,0.13430920359291146
2023-05-15,0.05433281318822674,0.08507589803749864,0.06578853477051888,0.09273182957393483
2023-05-17,0.054046984910228205,0.08464424712757755,0.0812034782866651,0.07636653996410094
2023-05-18,0.05376266028719818,0.0853496758093682,0.06081406984709868,0.035929118773946354
